id,level_id,title,description,materials
04d4c412-93d3-4691-b2c3-831512f61d11,2747a3ac-563a-4405-8d48-ac4a24643f31,"Arguments, Parameters & Pass-by-Value vs Pass-by-Reference","Understanding how JavaScript passes values to functions is essential for writing predictable code. JavaScript always passes by value — but for objects and arrays, the ""value"" is a reference to the object in memory.\n\nWhat this means in practice:\n• Primitives — passed by value. Mutating the parameter inside the function does not affect the original.\n• Objects and arrays — passed by reference copy. Mutating properties DOES affect the original. But reassigning the parameter to a new object does NOT.\n• The arguments object — available in regular functions (not arrows), array-like but not a real array\n• Rest parameters (...args) — the modern replacement for arguments, returns a real Array\n• Default parameter values — assigned when argument is undefined, not when it is null","[{""url"":""https://www.youtube.com/watch?v=-hBJz2PPIVE"",""type"":""video"",""title"":""Pass by Value vs Pass by Reference"",""source"":""Academind""},{""url"":""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Functions/rest_parameters"",""type"":""article"",""title"":""Rest parameters — MDN"",""source"":""MDN Web Docs""},{""url"":""https://javascript.info/function-expressions"",""type"":""article"",""title"":""Function parameters — javascript.info"",""source"":""javascript.info""}]"
2a97b0aa-ae05-42a4-ba03-6bafbf7d6f7a,ee0a23d9-3b02-4283-9c36-fcedba78fb03,"Functions: Declarations, Expressions & Arrow Functions","Functions are the building blocks of JavaScript. There are three main ways to define them, and each has distinct behavior around hoisting, the this keyword, and the arguments object.\n\nKey differences:\n• Function declarations — fully hoisted, can be called before definition\n• Function expressions — assigned to a variable, follow var/let/const hoisting rules\n• Arrow functions — no own this, no arguments object, cannot be used as constructors\n• Default parameters — evaluated at call time, can reference previous parameters\n• Rest parameters (...args) — collects remaining arguments into a real array\n\nArrow functions are not just ""shorter syntax"" — they fundamentally change how this is resolved, using lexical binding instead of dynamic binding. This distinction is essential for callbacks and class methods.","[{""url"":""https://www.youtube.com/watch?v=gigtS_5KOqo"",""type"":""video"",""title"":""JavaScript Functions Explained"",""source"":""Traversy Media""},{""url"":""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Functions/Arrow_functions"",""type"":""article"",""title"":""Arrow function expressions — MDN"",""source"":""MDN Web Docs""},{""url"":""https://javascript.info/function-basics"",""type"":""article"",""title"":""JavaScript Functions — javascript.info"",""source"":""javascript.info""}]"
3114b15c-afe7-4c1f-b359-8f897e29a3b2,faf7301e-b003-47f3-8f8b-9ccc126bdd1e,"TypeScript: Interfaces, Types & Generics","Interfaces, type aliases, and generics are the core tools that make TypeScript powerful for building large, maintainable codebases.\n\nInterfaces:\n• Define the shape of an object: interface User { id: number; name: string }\n• Optional properties: email?: string\n• Readonly properties: readonly id: number\n• Interfaces can be extended: interface Admin extends User { role: string }\n• Interfaces can be merged (declaration merging) — unlike type aliases\n\nInterface vs Type alias:\n• Both can describe object shapes and union types\n• interface — preferred for object shapes, supports extends and declaration merging\n• type — more flexible: can represent unions, tuples, mapped types, and primitives\n\nGenerics:\n• Allow writing reusable, type-safe code that works with any type\n• function identity<T>(arg: T): T { return arg }\n• Generic constraints: function getLength<T extends { length: number }>(arg: T): number\n• Generic interfaces: interface ApiResponse<T> { data: T; status: number }\n• Built-in generic utilities: Array<T>, Promise<T>, Record<K, V>, Partial<T>, Required<T>, Readonly<T>, Pick<T, K>, Omit<T, K>","[{""url"":""https://www.youtube.com/watch?v=LKVHFHJsiO0"",""type"":""video"",""title"":""TypeScript Interfaces and Types"",""source"":""Web Dev Simplified""},{""url"":""https://www.youtube.com/watch?v=nViEqpgwxHE"",""type"":""video"",""title"":""TypeScript Generics Explained"",""source"":""Fireship""},{""url"":""https://www.typescriptlang.org/docs/handbook/2/objects.html"",""type"":""article"",""title"":""Interfaces — TypeScript Handbook"",""source"":""TypeScript Official Docs""},{""url"":""https://www.typescriptlang.org/docs/handbook/2/generics.html"",""type"":""article"",""title"":""Generics — TypeScript Handbook"",""source"":""TypeScript Official Docs""}]"
5f879bf4-85d9-456e-8240-e782d925b66c,3b3241a4-76b2-4064-904a-03d80f248f13,Arrays: Methods & Transformations,"Arrays in JavaScript come with a rich set of built-in methods. Mastering them — especially the functional methods — is essential for writing clean, readable code.\n\nMutation methods (modify the original array):\n• push / pop — add/remove from end\n• unshift / shift — add/remove from start\n• splice(start, deleteCount, ...items) — insert/remove at any position\n• sort() — sorts in place (by default converts to string — always pass a comparator)\n• reverse() — reverses in place\n\nNon-mutation methods (return new array or value):\n• map(fn) — transforms each element\n• filter(fn) — keeps elements where fn returns true\n• reduce(fn, initial) — accumulates to single value\n• find(fn) / findIndex(fn) — first match\n• some(fn) / every(fn) — boolean checks\n• flat(depth) / flatMap(fn) — flatten nested arrays\n• slice(start, end) — shallow copy of portion\n\nKey rule: sort() mutates — always use [...arr].sort() if you need the original.","[{""url"":""https://www.youtube.com/watch?v=R8rmfD9Y5-c"",""type"":""video"",""title"":""JavaScript Array Methods You Must Know"",""source"":""Web Dev Simplified""},{""url"":""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array"",""type"":""article"",""title"":""Array — MDN Web Docs"",""source"":""MDN Web Docs""},{""url"":""https://javascript.info/array-methods"",""type"":""article"",""title"":""Array methods — javascript.info"",""source"":""javascript.info""}]"
6849c1ad-dfb8-4f83-8808-e77a580d07ff,e39a0abf-6bc2-40a9-aa59-86ac06b9fbdd,Sorting & Filtering Arrays,"Sorting arrays correctly in JavaScript requires understanding how sort() works under the hood — and why its default behavior surprises most developers.\n\nThe default sort() problem:\n• By default, sort() converts elements to strings and compares their UTF-16 code units\n• This means [10, 9, 2].sort() → [10, 2, 9] — not numeric order!\n• Always provide a comparator for numbers: arr.sort((a, b) => a - b)\n\nComparator function rules:\n• Return negative — a comes before b\n• Return positive — b comes before a\n• Return 0 — order unchanged\n\nSorting objects by property:\n• arr.sort((a, b) => a.name.localeCompare(b.name)) — alphabetical\n• arr.sort((a, b) => a.age - b.age) — numeric ascending\n• arr.sort((a, b) => b.score - a.score) — numeric descending\n\nFiltering:\n• filter() returns a new array — original is unchanged\n• Chaining: arr.filter(x => x > 0).sort((a, b) => a - b).map(String)","[{""url"":""https://www.youtube.com/watch?v=MWD-iKzR2c8"",""type"":""video"",""title"":""JavaScript Array Sort — The Right Way"",""source"":""Fireship""},{""url"":""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/sort"",""type"":""article"",""title"":""Array.prototype.sort() — MDN"",""source"":""MDN Web Docs""},{""url"":""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/filter"",""type"":""article"",""title"":""Array.prototype.filter() — MDN"",""source"":""MDN Web Docs""}]"
7125a197-63d1-4260-afb3-f80d4226a2ac,bab938e0-2c13-4d57-82f2-78a7b827100b,"Types, typeof & Type Checking","JavaScript has 8 data types: 7 primitives and 1 object type. Understanding how types work — and how to reliably check them — is critical for avoiding silent bugs.\n\nThe 8 types:\n• Primitive: undefined, null, boolean, number, bigint, string, symbol\n• Object: object (includes arrays, functions, dates — all return ""object"" for typeof)\n\ntypeof quirks to memorize:\n• typeof null === ""object"" — a historical bug in JS, not fixable\n• typeof function(){} === ""function"" — special case, not ""object""\n• typeof undeclaredVar — returns ""undefined"" instead of throwing\n• typeof NaN === ""number"" — NaN is a number type\n\nReliable type checking:\n• Array.isArray(val) — only reliable way to check arrays\n• Object.prototype.toString.call(val) — returns ""[object Type]"" for any value\n• instanceof — checks prototype chain, unreliable across iframes\n• Number.isNaN(val) vs isNaN(val) — Number.isNaN does not coerce","[{""url"":""https://www.youtube.com/watch?v=O9by2KcR2v4"",""type"":""video"",""title"":""JavaScript Data Types Explained"",""source"":""Academind""},{""url"":""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Data_structures"",""type"":""article"",""title"":""JavaScript data types — MDN"",""source"":""MDN Web Docs""},{""url"":""https://javascript.info/types"",""type"":""article"",""title"":""Data types — javascript.info"",""source"":""javascript.info""}]"
76cce3e3-719e-441a-aca5-c549b6970d22,9b39980d-df3f-4517-94cc-4f7153966fa0,Closures,"A closure is a function that remembers the variables from its outer lexical scope even after that outer function has finished executing. This is not a bug — it is a fundamental feature of how JavaScript handles scope.\n\nHow closures work:\n• Every function in JavaScript forms a closure over its surrounding scope at the time it is created\n• The inner function holds a live reference to outer variables — not a snapshot\n• This is why classic loop + setTimeout bugs occur with var (shared single variable) but not with let (new binding per iteration)\n\nCommon use cases:\n• Data privacy and encapsulation (module pattern, factory functions)\n• Memoization and caching\n• Partial application and currying\n• Event handlers that remember state","[{""url"":""https://www.youtube.com/watch?v=vKJpN5FAeF4"",""type"":""video"",""title"":""Closures Explained in 100 Seconds"",""source"":""Fireship""},{""url"":""https://www.youtube.com/watch?v=3a0I8ICR1Vg"",""type"":""video"",""title"":""Learn Closures In 7 Minutes"",""source"":""Web Dev Simplified""},{""url"":""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Closures"",""type"":""article"",""title"":""Closures — MDN Web Docs"",""source"":""MDN Web Docs""},{""url"":""https://javascript.info/closure"",""type"":""article"",""title"":""Closure — javascript.info"",""source"":""javascript.info""}]"
800fd620-ba0a-43ea-8e2e-ac5ae852f7fa,70feea50-89cb-413d-a5a9-991a4105fa79,Dates & Web Storage,"Working with dates and client-side storage are practical skills needed in almost every real-world JavaScript application.\n\nThe Date object:\n• new Date() — current date and time\n• new Date(""2024-01-15"") — from string (ISO 8601 recommended)\n• new Date(year, monthIndex, day) — month is 0-indexed!\n• date.getFullYear() / .getMonth() / .getDate() / .getDay()\n• date.getTime() — milliseconds since Unix epoch (Jan 1, 1970)\n• Date.now() — current timestamp in ms (no object needed)\n• Comparing dates: date1.getTime() > date2.getTime()\n\nWeb Storage API:\n• localStorage — persists across browser sessions, no expiry\n• sessionStorage — cleared when tab is closed\n• Both store key-value pairs as strings only\n• JSON.stringify() / JSON.parse() required for objects\n• localStorage.setItem(key, value) / getItem(key) / removeItem(key) / clear()\n• Storage limit ~5MB per origin\n• Not accessible in web workers or server-side environments","[{""url"":""https://www.youtube.com/watch?v=-eRsWqwcPuk"",""type"":""video"",""title"":""JavaScript Dates — The Complete Guide"",""source"":""Web Dev Simplified""},{""url"":""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Date"",""type"":""article"",""title"":""Date — MDN Web Docs"",""source"":""MDN Web Docs""},{""url"":""https://developer.mozilla.org/en-US/docs/Web/API/Web_Storage_API"",""type"":""article"",""title"":""Web Storage API — MDN"",""source"":""MDN Web Docs""},{""url"":""https://javascript.info/date"",""type"":""article"",""title"":""Date and time — javascript.info"",""source"":""javascript.info""}]"
93f6f30e-d09a-4815-a77e-90e5b7411fca,73220e05-5228-4bf8-a5d2-9301e6d89d20,Variables and Hoisting,"Before writing JavaScript confidently, you must understand how variables are stored and when they become accessible. JavaScript processes your code in two phases: a compilation phase (where declarations are registered) and an execution phase (where values are assigned).\n\nThis is the root of hoisting — the mechanism by which variable and function declarations are ""moved"" to the top of their scope before execution begins. Not all declarations behave the same:\n• var — hoisted AND initialized as undefined, accessible before its line\n• let / const — hoisted but placed in the Temporal Dead Zone (TDZ): accessing them before declaration throws a ReferenceError\n• Function declarations — fully hoisted (name + body), so you can call them before they appear in code\n• Function expressions / arrow functions — treated as variables, follow var/let/const hoisting rules\n\nMastering this prevents silent bugs and is a staple of JavaScript interviews.","[{""url"":""https://www.youtube.com/watch?v=EvfRXyKa_GI"",""type"":""video"",""title"":""Learn JavaScript Hoisting In 5 Minutes"",""source"":""Web Dev Simplified""},{""url"":""https://www.youtube.com/watch?v=VbHaL_J8Ex0"",""type"":""video"",""title"":""Variable Hoisting with let, const and var in JavaScript"",""source"":""Deeecode The Web""},{""url"":""https://developer.mozilla.org/en-US/docs/Glossary/Hoisting"",""type"":""article"",""title"":""Hoisting — MDN Web Docs"",""source"":""MDN Web Docs""},{""url"":""https://jsinterview.dev/topics/hoisting"",""type"":""article"",""title"":""JavaScript Hoisting — var, let, const & Functions Explained"",""source"":""jsinterview.dev""}]"
c2f0ac05-d397-4f42-943c-9794184592ac,cb0931a3-7b34-40fa-a17d-b60e5db7a301,"The ""this"" Keyword","The this keyword is one of the most misunderstood concepts in JavaScript. Unlike other languages, this is not determined by where a function is defined — it is determined by HOW the function is called.\n\nThe 5 rules for determining this:\n1. Default binding — called as a plain function: this is undefined (strict mode) or globalThis\n2. Implicit binding — called as a method (obj.fn()): this is the object before the dot\n3. Explicit binding — called via .call(), .apply(), or .bind(): this is the first argument\n4. new binding — called with new: this is the newly created object\n5. Arrow functions — no own this, inherited lexically from the enclosing scope\n\nRule priority: new > explicit > implicit > default. Arrow functions bypass all four rules.","[{""url"":""https://www.youtube.com/watch?v=gvicrj31JOM"",""type"":""video"",""title"":""JavaScript this Keyword"",""source"":""Fireship""},{""url"":""https://www.youtube.com/watch?v=Pi3QC_fVaD0"",""type"":""video"",""title"":""this keyword in depth"",""source"":""Web Dev Simplified""},{""url"":""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Operators/this"",""type"":""article"",""title"":""this — MDN Web Docs"",""source"":""MDN Web Docs""},{""url"":""https://javascript.info/object-methods"",""type"":""article"",""title"":""Object methods, this — javascript.info"",""source"":""javascript.info""}]"
