id,level_id,question,code_snippet,options,language,tags
006cc983-d834-4303-b14e-58b385fe5d1f,d89d3f51-2c37-44f6-9dfd-a01dce363be8,Which call ensures that `this` inside `getValue` is always `obj`?,"const obj = { value: 1, getValue() { console.log(this.value); } };","[{""text"":""const bound = obj.getValue.bind(obj); bound();"",""is_correct"":true},{""text"":""const bound = obj.getValue; bound.call();"",""is_correct"":false},{""text"":""const bound = () => obj.getValue(); bound();"",""is_correct"":false},{""text"":""obj.getValue.call(null);"",""is_correct"":false}]",javascript,"[""BIND"",""CALL"",""THIS""]"
02f6b5ae-b708-4625-aa55-cd2d762a6f11,d89d3f51-2c37-44f6-9dfd-a01dce363be8,"In non‑strict mode, what does `this` refer to in a plain function call `foo()` (not as a method)?",,"[{""text"":""The global object (`window` in browsers)"",""is_correct"":true},{""text"":""`undefined`"",""is_correct"":false},{""text"":""The function itself"",""is_correct"":false},{""text"":""The last object used in code"",""is_correct"":false}]",javascript,"[""THIS"",""CALL""]"
03579123-7def-40c6-ba66-3ebc816888bc,c1ddc588-ffe6-4c50-aebb-a59bd8ef8d7d,"What does `Object.assign(target, source)` do?",,"[{""text"":""Copies enumerable own properties from `source` to `target`"",""is_correct"":true},{""text"":""Creates a deep clone of `source`"",""is_correct"":false},{""text"":""Freezes both objects"",""is_correct"":false},{""text"":""Returns an array of keys"",""is_correct"":false}]",javascript,"[""ASSIGN""]"
045a34c7-df8b-40a3-a742-85435111c42d,0497829e-f4d0-4074-9af4-7ef069f3240f,Which utility type picks a subset of properties?,,"[{""text"":""Pick<User, 'id' | 'name'>"",""is_correct"":true},{""text"":""Partial<User>"",""is_correct"":false},{""text"":""Record<'id', User>"",""is_correct"":false},{""text"":""Omit<User, 'id'>"",""is_correct"":false}]",typescript,"[""UTILITY_TYPES"",""PICK""]"
0476f2b1-c641-4ffd-b903-cb6db67986ce,cb318465-447a-4257-94dc-07b23e9cfd06,Which comparison considers `NaN` equal to itself?,,"[{""text"":""`Object.is(NaN, NaN)`"",""is_correct"":true},{""text"":""`NaN === NaN`"",""is_correct"":false},{""text"":""`NaN == NaN`"",""is_correct"":false},{""text"":""`Number(NaN) === NaN`"",""is_correct"":false}]",javascript,"[""OBJECT_IS"",""NaN""]"
06753f7f-428c-4d4c-9b18-c51ac408d8c9,cb318465-447a-4257-94dc-07b23e9cfd06,What will this code log?,"console.log(`NaN === NaN`, NaN === NaN);","[{""text"":""`false`"",""is_correct"":true},{""text"":""`true`"",""is_correct"":false},{""text"":""`NaN`"",""is_correct"":false},{""text"":""`undefined`"",""is_correct"":false}]",javascript,"[""NaN"",""STRICT_EQUALITY""]"
06e79964-4940-4f25-b12a-ac62eb193090,0497829e-f4d0-4074-9af4-7ef069f3240f,Which syntax correctly declares a type alias?,,"[{""text"":""type Id = number | string;"",""is_correct"":true},{""text"":""alias Id = number | string;"",""is_correct"":false},{""text"":""typedef Id = number | string;"",""is_correct"":false},{""text"":""type: Id { number | string }"",""is_correct"":false}]",typescript,"[""TYPE_ALIASES""]"
08d2f24e-af00-495d-a3d4-ada12738d9ab,23216e88-1946-4c6d-8e2f-c4e2235bec62,What will this code log?,"function make() {
  const arr = [];
  for (let i = 0; i < 3; i++) {
    arr.push(() => console.log(i));
  }
  return arr;
}
const fns = make();
fns[0]();
fns[2]();","[{""text"":""`0` then `2`"",""is_correct"":true},{""text"":""`3` then `3`"",""is_correct"":false},{""text"":""`1` then `3`"",""is_correct"":false},{""text"":""`2` then `2`"",""is_correct"":false}]",javascript,"[""CLOSURES"",""LET""]"
09e61d53-9eef-44bc-a42d-7caf7bc6b169,f0b352af-6dd7-48bc-92ce-89969cf1cbe5,Where is `a` stored before the line `var a = 10` is executed?,,"[{""text"":""In the global scope with value `undefined`"",""is_correct"":true},{""text"":""Nowhere, `a` does not exist yet"",""is_correct"":false},{""text"":""On the call stack with value `10`"",""is_correct"":false},{""text"":""In `localStorage`"",""is_correct"":false}]",javascript,"[""VARIABLES"",""HOISTING""]"
0e4ac421-2b46-472c-8906-3df7bfc1b368,c731a21a-6a18-43ef-8d91-904cc7d3bc31,What does `event.stopPropagation()` do?,,"[{""text"":""Stops the event from moving to the next phase/element"",""is_correct"":true},{""text"":""Prevents the default action"",""is_correct"":false},{""text"":""Removes the event listener"",""is_correct"":false},{""text"":""Reloads the page"",""is_correct"":false}]",javascript,"[""EVENTS"",""PROPAGATION""]"
0ebe322d-6630-4ff4-a2bf-3a363352ff16,d89d3f51-2c37-44f6-9dfd-a01dce363be8,Which statement about binding `this` twice is correct?,,"[{""text"":""Calling `bind` on an already bound function keeps the first `this`"",""is_correct"":true},{""text"":""Each `bind` completely overrides previous bindings"",""is_correct"":false},{""text"":""`bind` can only be called once per function"",""is_correct"":false},{""text"":""`bind` throws if used more than once"",""is_correct"":false}]",javascript,"[""BIND"",""THIS""]"
0faaa4d4-8460-49b0-b149-65180786cb12,762caa41-9401-4119-b7b0-f2ed5a6c6cda,Which iteration will also include inherited enumerable properties?,,"[{""text"":""`for...in`"",""is_correct"":true},{""text"":""`for...of`"",""is_correct"":false},{""text"":""`forEach`"",""is_correct"":false},{""text"":""`map`"",""is_correct"":false}]",javascript,"[""FOR_IN"",""INHERITANCE""]"
101a65e3-20ae-43bc-96d2-a21458e6eb92,cfafc13a-b24f-4293-842d-b16f35cbfa36,What will this code log?,"const arr = [1, 2, 3];
const sum = arr.reduce((acc, x) => acc + x, 0);
console.log(sum);","[{""text"":""`6`"",""is_correct"":true},{""text"":""`0`"",""is_correct"":false},{""text"":""`3`"",""is_correct"":false},{""text"":""`NaN`"",""is_correct"":false}]",javascript,"[""ARRAYS"",""REDUCE""]"
10441fa6-4bb3-4485-b581-ffcf236808cc,983eefee-33d0-415c-b86a-0b5dac3df2f9,Which property refers to the global object in browsers?,,"[{""text"":""`window`"",""is_correct"":true},{""text"":""`global`"",""is_correct"":false},{""text"":""`document`"",""is_correct"":false},{""text"":""`navigator`"",""is_correct"":false}]",javascript,"[""WINDOW"",""GLOBAL""]"
163644fa-32c3-490e-b8ca-05e84eaeabc9,cfafc13a-b24f-4293-842d-b16f35cbfa36,Which method returns the **index** of the first matching element?,,"[{""text"":""`findIndex`"",""is_correct"":true},{""text"":""`find`"",""is_correct"":false},{""text"":""`indexOf` only"",""is_correct"":false},{""text"":""`some`"",""is_correct"":false}]",javascript,"[""FINDINDEX""]"
16c38d17-7e3e-4a53-870d-68e69cd9c7d0,d9d362e9-010f-4505-8d05-fdf2a6abf337,What will this code log?,"function change(x) {
  x = 10;
}
let n = 5;
change(n);
console.log(n);","[{""text"":""`5`"",""is_correct"":true},{""text"":""`10`"",""is_correct"":false},{""text"":""`undefined`"",""is_correct"":false},{""text"":""`ReferenceError`"",""is_correct"":false}]",javascript,"[""PRIMITIVES"",""PARAMETERS""]"
19dc88aa-60f6-47f2-afe9-c7e7583cd9af,c1ddc588-ffe6-4c50-aebb-a59bd8ef8d7d,What does `Object.keys(obj)` return?,,"[{""text"":""An array of enumerable own property names"",""is_correct"":true},{""text"":""An array of property values"",""is_correct"":false},{""text"":""A `Promise` with keys"",""is_correct"":false},{""text"":""A `Map` of keys and values"",""is_correct"":false}]",javascript,"[""OBJECTS"",""KEYS""]"
