id,level_id,order,tag,code_snippet,answer,is_correct
05229830-89e4-45f9-a0dd-8d085ba5c79b,c463908a-34e4-415e-8bcd-27815334b7f7,1,JAVASCRIPT // PROMISES,"Promise.allSettled([Promise.reject(""err"")])
  .then(r => r[0].status)",returns `rejected`,true
0560f596-b8a7-4e9b-9856-64dcf18568ba,4649c22e-907c-4760-904c-f9b17e6e48a9,1,TYPESCRIPT // TYPES,type A = string | number; \nconst a: A = true,compiles without error,false
0977dc45-520a-4986-a94a-22a8f3b5bbf3,4649c22e-907c-4760-904c-f9b17e6e48a9,2,TYPESCRIPT // CONDITIONAL,type Unwrap<T> = T extends Promise<infer U> ? U : T; \ntype R = Unwrap<Promise<string>>,resolves to string,true
0c22e23a-a8cf-42b4-a6f5-e1e4194c9ef7,4649c22e-907c-4760-904c-f9b17e6e48a9,3,TYPESCRIPT // MAPPED_TYPES,type Readonly<T> = { readonly [K in keyof T]: T[K] }; \nconst a: Readonly<{x:number}> = {x:1}; \na.x = 2,compiles without error,false
0ff29487-791b-41bc-b2d8-415c2d35d5cb,4649c22e-907c-4760-904c-f9b17e6e48a9,4,TYPESCRIPT // ADVANCED,type A = never extends string ? true : false,resolves to true,true
10bf4636-c43d-4b08-bd42-23f1eba779e1,4a55c609-2566-4e3b-bdf7-bb07e2ef56e2,1,PATTERNS // DATABASE,SQL databases are always \nfaster than NoSQL,returns true,false
1297dcc7-17b6-450f-a93b-b3087d63c8ba,6a3ba0c9-0c1e-4c81-a812-6a2b53eccf87,1,ALGORITHMS // DYNAMIC_PROGRAMMING,"function fib(n, memo={}) { \nif (n<=1) return n; \nreturn memo[n] ??= fib(n-1,memo)+fib(n-2,memo); } \nfib(6)",returns 8,true
14e80637-44ba-49e0-97ca-4099668e6706,0137de57-b7d8-4a56-a2e6-d09cf93f2c52,1,JAVASCRIPT // PROTOTYPES,function F(){} \nF.prototype.x = 1; \nnew F().x,returns 1,true
17eb358b-48ed-4015-9f1e-3ca36c99e3fe,4649c22e-907c-4760-904c-f9b17e6e48a9,5,TYPESCRIPT // INTERFACES,"interface A { x: number } \nconst a: A = { x: 1, y: 2 }",compiles without error,false
25259b3b-a775-454f-a08c-c0e87b8045ec,6bdf07f6-3288-4b87-94f0-3f99526b315c,1,TYPESCRIPT // GENERICS,"function id<T>(x: T): T { return x; } \nid<number>(""hello"")",compiles without error,false
272b567f-c260-4cfe-abd2-d39fd2e8498a,4649c22e-907c-4760-904c-f9b17e6e48a9,6,TYPESCRIPT // NARROWING,"""value"" in { value: 1 }",returns true,true
2b48abb0-dd49-47fb-8350-019585c50768,0fad1cf7-ef51-4cce-a1d4-21fffb966a0e,1,JAVASCRIPT // CLOSURES,(function() { var x = 1; })(); \ntypeof x,"returns ""undefined""",true
2e9df0c0-9799-423f-a86e-5b209151afb7,6bdf07f6-3288-4b87-94f0-3f99526b315c,2,TYPESCRIPT // UTILITY_TYPES,"type K = keyof { x: 1; y: 2 }; \nconst a: K = ""z""",compiles without error,false
2efb5719-3b76-4b90-a248-efe0a9e407fe,6a3ba0c9-0c1e-4c81-a812-6a2b53eccf87,2,ALGORITHMS // DYNAMIC_PROGRAMMING,Memoized fibonacci is O(n),returns true,true
35cb49a6-769d-4e1c-becf-57e7ff90d171,6a3ba0c9-0c1e-4c81-a812-6a2b53eccf87,3,ALGORITHMS // RECURSION,Every recursive function \nmust have a base case,returns true,true
3863e501-bf6c-42b3-8648-b755625864d0,4a55c609-2566-4e3b-bdf7-bb07e2ef56e2,2,PATTERNS // SYSTEM_DESIGN,A CDN reduces \nserver load,returns true,true
39da1273-9837-492d-9e62-10b343ad9b78,569d2fa7-453b-4a3a-bb12-668dab8e5932,1,JAVASCRIPT // MAPS,"new Map([[1,""a""]]).has(1)",returns true,true
3b9a6fa8-aed7-4223-a447-80c13ddc440f,0fad1cf7-ef51-4cce-a1d4-21fffb966a0e,2,JAVASCRIPT // SCOPE,var x = 1; \n(function(){ var x = 2; })(); \nconsole.log(x),returns 1,true
3eb02fd7-448f-4ef2-85c6-83e3452bf855,c463908a-34e4-415e-8bcd-27815334b7f7,2,JAVASCRIPT // ASYNC,"async function f() {
  return 1;
} 
f() === 1",returns `true`,false
3fe645fa-5f56-43fb-b8de-08fce9f250fb,569d2fa7-453b-4a3a-bb12-668dab8e5932,2,JAVASCRIPT // ARRAYS,"[1,2,3].length",returns 3,true
409a354d-6b0a-48d7-aa06-b1d681a2a027,4649c22e-907c-4760-904c-f9b17e6e48a9,7,TYPESCRIPT // ADVANCED,type N = string & number,resolves to never,true
41aaeb72-e5af-44b6-93db-f6ae2ce2bd6a,6bdf07f6-3288-4b87-94f0-3f99526b315c,3,TYPESCRIPT // GENERICS,function id<T>(x: T): T { return x; } \ntypeof id(42),"returns ""number""",true
41d2e948-8dde-4c9e-9ca9-5c6aa390e735,0137de57-b7d8-4a56-a2e6-d09cf93f2c52,2,JAVASCRIPT // CLASSES,class A { constructor() { this.x = 1; } } \nnew A().x,returns 1,true
433c6f9b-785b-4bba-b763-37aa80482dd9,0137de57-b7d8-4a56-a2e6-d09cf93f2c52,3,JAVASCRIPT // CLASSES,class A {} \ntypeof A,"returns ""class""",false
4491137b-57eb-468e-a12c-1d2b51ce04bf,c463908a-34e4-415e-8bcd-27815334b7f7,3,JAVASCRIPT // PROMISES,Promise.resolve(42) instanceof Promise,returns `true`,true
4703cc3e-dd27-4a94-a1e8-919e908c5384,4a55c609-2566-4e3b-bdf7-bb07e2ef56e2,3,PATTERNS // CACHING,Cache hit means \ndata was NOT found in cache,returns true,false
4b597cea-de77-49a9-b780-92c6b86c1eee,569d2fa7-453b-4a3a-bb12-668dab8e5932,3,JAVASCRIPT // MAPS,"new Set([1,1,2,2,3]).size",returns 3,true
