id,module_id,title,description,widget_type,difficulty
0137de57-b7d8-4a56-a2e6-d09cf93f2c52,9,Objects: True or False,Decide which statements about objects and descriptors are correct.,TRUE_FALSE,medium
0497829e-f4d0-4074-9af4-7ef069f3240f,17,Interfaces and Types Quiz,"Test your understanding of interfaces, type aliases, and unions.",QUIZ,medium
07205846-d207-417a-aef6-79e7ca77e4a8,2,Code Arena: Expressions & Comparisons,"Implement solutions that rely on strict equality, type coercion rules, and complex comparison expressions without bugs.",CODE_ARENA,expert
0c0217d7-7d29-49cf-97c2-c4a5c9c6b46a,4,Code Arena: Scope & Nested Scopes,Write functions that correctly manage variable access across deeply nested functional scopes without leaking or shadowing unintentionally.,CODE_ARENA,expert
0c047f1b-818b-4cd4-a868-1641d1c719f3,7,Code Arena: Advanced this & Functions,"Write code that correctly handles this binding in nested functions, callbacks, and method chaining using call, apply, and bind.",CODE_ARENA,expert
0cd747c8-84db-4c5f-bd20-4ef26f1426d9,6,Predict the Output: Closures,Predict values returned by functions using closures.,OUTPUT_PREDICTOR,hard
0fad1cf7-ef51-4cce-a1d4-21fffb966a0e,4,Scope Behavior: True or False,Judge if statements about scope chains are correct.,TRUE_FALSE,medium
120a5dcb-a297-4209-904a-28a534fbf8fc,13,Predict the Output: DOM,Predict what happens when the DOM is manipulated in code.,OUTPUT_PREDICTOR,hard
19e1714e-9546-4ae3-b760-fa3e5cb8e9d8,13,DOM Basics: True or False,Judge which statements about DOM and Window are correct.,TRUE_FALSE,medium
1c234839-c556-4e04-917a-aed9e9f5fe02,15,Code Arena: Storage & Date/Time,"Build utilities that correctly use localStorage, sessionStorage, cookies, and the Date API to manage persistent state.",CODE_ARENA,expert
23216e88-1946-4c6d-8e2f-c4e2235bec62,6,Closures Quiz,Test your understanding of closures and lexical scoping patterns.,QUIZ,medium
27016f62-4516-40fb-88f0-2bba5bbbe453,3,Predict the Output: Functions,"Predict results for code using declarations, expressions, and arrow functions.",OUTPUT_PREDICTOR,hard
2747a3ac-563a-4405-8d48-ac4a24643f31,5,Intro: Parameters vs Arguments,Learn how functions receive values and how arguments are passed.,VIDEO_TASK,easy
2b0fd6fb-685a-4553-9c94-09b879a0af36,5,Code Arena: Parameters & Arguments,"Build functions that handle rest parameters, default values, and the arguments object correctly in complex call scenarios.",CODE_ARENA,expert
2e7d8658-dd34-46dd-a8d9-47a206b99fd8,13,Code Arena: DOM & Browser Events,"Write code that dynamically manipulates the DOM, handles event listeners, and manages Window properties correctly.",CODE_ARENA,expert
310f983b-d4b8-402d-9b7a-4c6126d07f03,3,Function Forms Quiz,Check how well you distinguish different function forms and their use cases.,QUIZ,medium
3b3241a4-76b2-4064-904a-03d80f248f13,11,Intro: Array Methods,Understand core array methods and how they transform data.,VIDEO_TASK,easy
4649c22e-907c-4760-904c-f9b17e6e48a9,16,TS Basics: True or False,Evaluate statements about core TypeScript concepts.,TRUE_FALSE,medium
4a55c609-2566-4e3b-bdf7-bb07e2ef56e2,15,Principles: True or False,"Judge statements about KISS, DRY, YAGNI in frontend architecture.",TRUE_FALSE,medium
4f1d5d37-a9d3-40eb-ae85-c22e0931bc86,16,Intro: TypeScript Basics,See how TypeScript adds types on top of JavaScript.,VIDEO_TASK,easy
4f748f49-ead6-4339-996c-830b2cd8b227,15,Predict the Output: Dates and Storage,Predict the result of operations with Date and Web Storage APIs.,OUTPUT_PREDICTOR,hard
5021ba3c-412d-4c43-a298-baa1562db3e0,11,Code Arena: Array Built-in Methods,"Solve problems using chained array methods like map, filter, reduce, flat, and flatMap to transform complex data structures.",CODE_ARENA,expert
54fb6cd1-e862-4051-9f80-c3ff215b88e3,9,Intro: Objects and Utilities,Overview of Object utilities and property descriptors.,VIDEO_TASK,easy
569d2fa7-453b-4a3a-bb12-668dab8e5932,11,Arrays: True or False,Judge correctness of statements about array operations.,TRUE_FALSE,medium
57f173c5-9d58-4baf-af61-f6c33e226985,10,Predict the Output: Types,Predict output of expressions involving different data types.,OUTPUT_PREDICTOR,hard
591a8e1f-24f6-4242-9ddd-ef5bdc1333a9,3,Code Arena: Function Declarations,"Solve challenges requiring mastery of function declarations, expressions, and arrow functions including subtle behavioral differences.",CODE_ARENA,expert
5ccef322-f027-43b5-969d-f5b1b64c56b1,14,Code Arena: Event Propagation & Timers,"Implement solutions involving event delegation, custom events, and precise timer-based logic using setTimeout and setInterval.",CODE_ARENA,expert
5d95c5d9-6b8a-46c9-9779-f9090870a8f3,8,"Code Arena: Spread, Rest & Destructuring",Solve complex tasks using spread/rest syntax and nested destructuring patterns with default values and renaming.,CODE_ARENA,expert
621a99fa-161b-48ff-8248-56d053cfa5cf,7,Predict the Output: this,Predict what this refers to and what gets logged.,OUTPUT_PREDICTOR,hard
63b970d8-27c9-4374-8f14-c3c6537040a1,12,Predict the Output: Sorting,Predict final order of arrays after sorting and filtering.,OUTPUT_PREDICTOR,hard
