id,level_id,title,topic,description,initial_code,tests
0d2422bb-1199-443a-a433-6126f839ff0e,a880a588-800f-4675-a2bd-7642b426398a,Dynamic Property Builder,DATA TYPES & COMPUTED PROPERTIES,"Write a function called `buildObject` that takes an array of `[key, value]` pairs and returns a new object constructed from them.\n\nPlease note:\n- You must use computed property name syntax (`{ [key]: value }`) inside a loop or the `reduce` method.\n- Do not use the built-in `Object.fromEntries` method.\n\nExamples:\n- `buildObject([['name', 'Alice'], ['age', 30]])` returns `{ name: 'Alice', age: 30 }`\n- `buildObject([])` returns `{}`","function buildObject(pairs) {
  // Write your code here

}","if(typeof buildObject!=='function')throw new Error(""ReferenceError: Function 'buildObject' is not defined."");const tc=[{input:[['name','Alice'],['age',30]],expected:{name:""Alice"",age:30},desc:""Basic pairs""},{input:[],expected:{},desc:""Empty array""}];tc.forEach((t,i)=>{try{const res=buildObject(t.input);if(JSON.stringify(res)!==JSON.stringify(t.expected))throw new Error(`[Test ${i+1} Failed] ${t.desc}.`)}catch(e){throw new Error(`[Test ${i+1} Error] ${e.message}`)}});if(buildObject.toString().includes('fromEntries'))throw new Error(""[Constraint Failed] Object.fromEntries used."");"
22a7acd7-6cbc-4ce3-8640-242db20e2c08,5021ba3c-412d-4c43-a298-baa1562db3e0,Array Pipeline,ARRAYS: BUILT-IN METHODS,"Write a function called `processNumbers` that takes an array of numbers and returns a new array after applying specific transformations.\n\nYour task is to:\n1. Filter out all negative numbers.\n2. Multiply each remaining number by `2`.\n3. Keep only the numbers that are strictly greater than `5`.\n\nPlease note: you must chain the `filter` and `map` methods. Do not use standard loops like `for` or `while`.\n\nExamples:\n- `processNumbers([1, -3, 4, 6, -1, 3])` returns `[8, 12]`\n- `processNumbers([-1, -2])` returns `[]`\n- `processNumbers([3, 4])` returns `[8]`","function processNumbers(arr) {
  // Write your code here

}","if(typeof processNumbers!=='function')throw new Error(""ReferenceError: Function 'processNumbers' is not defined."");const tc=[{input:[1,-3,4,6,-1,3],expected:[8,12],desc:""Mixed numbers""},{input:[-1,-2],expected:[],desc:""Only negative""},{input:[3,4],expected:[8],desc:""Check boundary""}];tc.forEach((t,i)=>{try{const res=processNumbers(t.input);if(JSON.stringify(res)!==JSON.stringify(t.expected))throw new Error(`[Test ${i+1} Failed] ${t.desc}. Expected: ${JSON.stringify(t.expected)}, got: ${JSON.stringify(res)}`)}catch(e){if(e.message.includes('Test'))throw e;throw new Error(`[Test ${i+1} Error] ${e.message}`)}});const fnStr=processNumbers.toString();if(/for\s*\(|while\s*\(/.test(fnStr))throw new Error(""[Constraint Failed] Do not use loops."");if(!fnStr.includes('filter')||!fnStr.includes('map'))throw new Error(""[Constraint Failed] Must chain filter and map."");"
2d1387d2-6497-40ae-a812-81625076d049,1c234839-c556-4e04-917a-aed9e9f5fe02,Session Cart,WEB STORAGE & DATE/TIME,"Write a function called `manageCart` that simulates a basic shopping cart using the browser's `sessionStorage`.\n\nThe function must accept two arguments:\n- `action` (string): the operation to perform.\n- `item` (string, optional): the item to manipulate.\n\nSupported actions:\n- `'add'`: adds the `item` to the cart array stored in `sessionStorage` under the key `'cart'`.\n- `'remove'`: removes the first occurrence of the `item` from the cart.\n- `'clear'`: completely empties the cart.\n- `'get'`: returns the current cart as a parsed array.\n\nThe cart state must persist across function calls by properly stringifying and parsing a JSON array in `sessionStorage`.\n\nExamples:\n- `manageCart('add', 'apple')` makes the cart `['apple']`\n- `manageCart('add', 'banana')` makes the cart `['apple', 'banana']`\n- `manageCart('remove', 'apple')` makes the cart `['banana']`\n- `manageCart('get')` returns `['banana']`\n- `manageCart('clear')` makes the cart `[]`","function manageCart(action, item) {
  // Write your code here

}","if(typeof manageCart!=='function')throw new Error(""ReferenceError: Function 'manageCart' is not defined."");const ss={store:{},getItem(k){return this.store[k]||null},setItem(k,v){this.store[k]=v},removeItem(k){delete this.store[k]},clear(){this.store={}}};const origSS=globalThis.sessionStorage;globalThis.sessionStorage=ss;try{manageCart('clear');manageCart('add','apple');manageCart('add','banana');let res=manageCart('get');if(JSON.stringify(res)!==JSON.stringify(['apple','banana']))throw new Error(""[Test 1 Failed] Incorrect cart after adds."");manageCart('remove','apple');res=manageCart('get');if(JSON.stringify(res)!==JSON.stringify(['banana']))throw new Error(""[Test 2 Failed] Incorrect cart after remove."");manageCart('clear');res=manageCart('get');if(JSON.stringify(res)!==JSON.stringify([]))throw new Error(""[Test 3 Failed] Cart not empty after clear."")}catch(e){throw new Error(`[Test Error] ${e.message}`)}finally{globalThis.sessionStorage=origSS}"
2e9e9dcf-9d92-495c-a5b8-e4947b110d49,d99c669c-ae5a-4007-9d18-e1ce815b998c,Object Inspector,OBJECTS & BUILT-IN METHODS,"Write a function called `summarizeObject` that takes an object and returns a summary object.\n\nThe returned object must contain:\n- `keys`: an array of all own enumerable property names.\n- `values`: an array of all own enumerable property values.\n- `count`: the total number of own enumerable properties.\n\nPlease note: use `Object.keys` and `Object.values`. Do not use a `for...in` loop.\n\nExamples:\n- `summarizeObject({ a: 1, b: 2 })` returns `{ keys: ['a', 'b'], values: [1, 2], count: 2 }`\n- `summarizeObject({})` returns `{ keys: [], values: [], count: 0 }`","function summarizeObject(obj) {
  // Write your code here

}","if(typeof summarizeObject!=='function')throw new Error(""ReferenceError: Function 'summarizeObject' is not defined."");const tc=[{input:{a:1,b:2},exp:{keys:[""a"",""b""],values:[1,2],count:2}},{input:{},exp:{keys:[],values:[],count:0}}];tc.forEach((t,i)=>{try{const res=summarizeObject(t.input);if(JSON.stringify(res)!==JSON.stringify(t.exp))throw new Error(`[Test ${i+1} Failed] Expected ${JSON.stringify(t.exp)}, got ${JSON.stringify(res)}`)}catch(e){if(e.message.includes('Test'))throw e;throw new Error(`[Test ${i+1} Error] ${e.message}`)}});if(/for\s*\([\w\s]+\s+in\s+/.test(summarizeObject.toString()))throw new Error(""[Constraint Failed] Used for...in."");"
3598406c-44ba-449f-9a28-00738545dec4,71401768-c639-4e4c-9aa8-7eece0d8c455,Private Counter,CLOSURES,Write a function called `createCounter` that returns an object containing three methods to manage an internal count.\n\nThe methods are:\n- `increment()`: increases the internal count by `1`.\n- `decrement()`: decreases the internal count by `1`.\n- `getCount()`: returns the current value of the count.\n\nPlease note: the internal count variable must remain completely hidden and inaccessible from the outside. It should only be manipulated via the provided closure methods.\n\nExamples:\n- `const c = createCounter(); c.increment(); c.increment(); c.getCount()` returns `2`\n- `c.decrement(); c.getCount()` returns `1`\n- `c.count` returns `undefined`,"function createCounter() {
  // Write your code here

}","if(typeof createCounter!=='function')throw new Error(""ReferenceError: Function 'createCounter' is not defined."");try{const c=createCounter();if(typeof c.increment!=='function'||typeof c.decrement!=='function'||typeof c.getCount!=='function')throw new Error(""[Test 1 Failed] Missing methods."");c.increment();c.increment();if(c.getCount()!==2)throw new Error(""[Test 2 Failed] Expected 2 after 2 increments."");c.decrement();if(c.getCount()!==1)throw new Error(""[Test 3 Failed] Expected 1 after decrement."");if(c.count!==undefined)throw new Error(""[Constraint Failed] Internal count exposed."")}catch(e){throw new Error(`[Test Error] ${e.message}`)}"
4530185c-2d0f-4adb-88bc-42fc6d2e7ca6,5d95c5d9-6b8a-46c9-9779-f9090870a8f3,Object Merger,"SPREAD, REST & DESTRUCTURING","Write a function called `mergeObjects` that takes two objects and returns a new object representing a shallow merge of both.\n\nPlease note:\n- Properties from the second object must overwrite identically named properties from the first object.\n- The original objects must not be mutated.\n- You must use the spread operator (`...`). Do not use `Object.assign`.\n\nExamples:\n- `mergeObjects({ a: 1 }, { b: 2 })` returns `{ a: 1, b: 2 }`\n- `mergeObjects({ a: 1, b: 2 }, { b: 99 })` returns `{ a: 1, b: 99 }`","function mergeObjects(obj1, obj2) {
  // Write your code here

}","if(typeof mergeObjects!=='function')throw new Error(""ReferenceError: Function 'mergeObjects' is not defined."");try{const o1={a:1,b:2};const o2={b:99,c:3};const res=mergeObjects(o1,o2);if(res.a!==1||res.b!==99||res.c!==3)throw new Error(""[Test 1 Failed] Incorrect merge."");if(o1.b!==2||o2.b!==99)throw new Error(""[Constraint Failed] Mutated original objects."")}catch(e){throw new Error(`[Test Error] ${e.message}`)}if(mergeObjects.toString().includes('Object.assign'))throw new Error(""[Constraint Failed] Used Object.assign."");"
50dda8c8-01f9-495f-b2b3-4296fcec04cc,2b0fd6fb-685a-4553-9c94-09b879a0af36,Flexible Sum,PARAMETERS & ARGUMENTS,"Write a function called `flexibleSum` that accepts any number of numeric arguments and returns their total sum.\n\nThe function must handle scenarios where it is called with zero, one, or multiple arguments.\n\nPlease note: you must use the rest parameter syntax (`...args`). Do not use the legacy `arguments` object.\n\nExamples:\n- `flexibleSum()` returns `0`\n- `flexibleSum(5)` returns `5`\n- `flexibleSum(1, 2, 3, 4)` returns `10`\n- `flexibleSum(-1, 1)` returns `0`","function flexibleSum(...args) {
  // Write your code here

}","if(typeof flexibleSum!=='function')throw new Error(""ReferenceError: Function 'flexibleSum' is not defined."");const tc=[{args:[],exp:0},{args:[5],exp:5},{args:[1,2,3,4],exp:10},{args:[-1,1],exp:0}];tc.forEach((t,i)=>{try{const res=flexibleSum(...t.args);if(res!==t.exp)throw new Error(`[Test ${i+1} Failed] Expected ${t.exp}, got: ${res}`)}catch(e){if(e.message.includes('Test'))throw e;throw new Error(`[Test ${i+1} Error] ${e.message}`)}});if(flexibleSum.toString().includes('arguments'))throw new Error(""[Constraint Failed] Used 'arguments' object."");"
5331dbab-4eea-4164-b30d-3a0fd04139dc,98392717-a5f6-4405-870a-15b65a5057b9,Hoisting Detective,VARIABLES & HOISTING,Write a function called `getHoistedValue` that demonstrates variable hoisting in JavaScript.\n\nYour function must:\n1. Declare a variable using `var x` and assign it the value `42` somewhere within the function body.\n2. Return the value of `x` before the line where the assignment occurs.\n\nExamples:\n- `getHoistedValue()` returns `undefined` because the declaration is hoisted but the assignment is not.,"function getHoistedValue() {
  // Write your code here

}","if(typeof getHoistedValue!=='function')throw new Error(""ReferenceError: Function 'getHoistedValue' is not defined."");try{const res=getHoistedValue();if(res!==undefined)throw new Error(`[Test 1 Failed] Expected undefined due to hoisting, got ${res}`)}catch(e){throw new Error(`[Test Error] ${e.message}`)}if(!getHoistedValue.toString().includes('var x'))throw new Error(""[Constraint Failed] Must use 'var x'."");"
5d9b8883-7042-4202-8875-35a0cb64ec50,07205846-d207-417a-aef6-79e7ca77e4a8,Equality Trap,EXPRESSIONS & COMPARISONS,"Write a function called `classifyEquality` that evaluates two arguments, `a` and `b`, and returns a string based on their equality.\n\nThe function must return:\n- `'strict'` if `a === b`\n- `'loose'` if `a == b` but `a !== b`\n- `'none'` if neither equality condition holds.\n\nThis task tests your understanding of strict equality, type coercion, and specific edge cases like `NaN`.\n\nExamples:\n- `classifyEquality(1, 1)` returns `'strict'`\n- `classifyEquality(1, '1')` returns `'loose'`\n- `classifyEquality(null, undefined)` returns `'loose'`\n- `classifyEquality(NaN, NaN)` returns `'none'`","function classifyEquality(a, b) {
  // Write your code here

}","if(typeof classifyEquality!=='function')throw new Error(""ReferenceError: Function 'classifyEquality' is not defined."");const tc=[{a:1,b:1,exp:""strict""},{a:1,b:""1"",exp:""loose""},{a:null,b:undefined,exp:""loose""},{a:NaN,b:NaN,exp:""none""},{a:0,b:false,exp:""loose""},{a:{},b:{},exp:""none""}];tc.forEach((t,i)=>{try{const res=classifyEquality(t.a,t.b);if(res!==t.exp)throw new Error(`[Test ${i+1} Failed] For a=${t.a}, b=${t.b}. Expected: ${t.exp}, got: ${res}`)}catch(e){if(e.message.includes('Test'))throw e;throw new Error(`[Test ${i+1} Error] ${e.message}`)}});"
6ab38e1b-27e1-48e9-91a4-32b01a92c330,591a8e1f-24f6-4242-9ddd-ef5bdc1333a9,Function Factory,FUNCTIONS,Write a function called `makeMultiplier` that takes a number `factor` as an argument and returns a new function.\n\nThe returned function must accept a single number `value` and return the product of `value` and `factor`.\n\nExamples:\n- `makeMultiplier(3)(5)` returns `15`\n- `makeMultiplier(2)(0)` returns `0`\n- `makeMultiplier(-1)(7)` returns `-7`,"function makeMultiplier(factor) {
  // Write your code here

}","if(typeof makeMultiplier!=='function')throw new Error(""ReferenceError: Function 'makeMultiplier' is not defined."");try{const mul3=makeMultiplier(3);if(typeof mul3!=='function')throw new Error(""[Test 1 Failed] Must return a function."");if(mul3(5)!==15)throw new Error(""[Test 2 Failed] 3 * 5 should be 15."");const mul2=makeMultiplier(2);if(mul2(0)!==0)throw new Error(""[Test 3 Failed] 2 * 0 should be 0."");if(makeMultiplier(-1)(7)!==-7)throw new Error(""[Test 4 Failed] -1 * 7 should be -7."")}catch(e){throw new Error(`[Test Error] ${e.message}`)}"
